	target_text	input_text	prefix
24	does it fit the model wd06350	"Deluxe 2-1/2"" Bulkdry Pick-Up', 'Designed for vacuuming versatility, the Shop Vac 2-1/2-inch deluxe pick-up accessory kit converts vacuums to large 2-1/2-inch tools. The answer for any type of bulk dry pick-up tasks, this kit features a 6-foot hose for working around corners, a 14- and 6-inch nozzle for accessibility, and two extension wands for a longer reach. The Shop Vac also includes an 8-inch utility nozzle, a 14-inch floor nozzle and a 2-1/2-inch crevice tool for tight spots."	ask_question
25	Is this kit compatible with my rigid wet/dry vac that also take a 2 1/2 hose?	"Deluxe 2-1/2"" Bulkdry Pick-Up', 'Designed for vacuuming versatility, the Shop Vac 2-1/2-inch deluxe pick-up accessory kit converts vacuums to large 2-1/2-inch tools. The answer for any type of bulk dry pick-up tasks, this kit features a 6-foot hose for working around corners, a 14- and 6-inch nozzle for accessibility, and two extension wands for a longer reach. The Shop Vac also includes an 8-inch utility nozzle, a 14-inch floor nozzle and a 2-1/2-inch crevice tool for tight spots."	ask_question
26	"This kit does come with the brush for the 14"" nozzle for vacuuming drywall correct?"	"Deluxe 2-1/2"" Bulkdry Pick-Up', 'Designed for vacuuming versatility, the Shop Vac 2-1/2-inch deluxe pick-up accessory kit converts vacuums to large 2-1/2-inch tools. The answer for any type of bulk dry pick-up tasks, this kit features a 6-foot hose for working around corners, a 14- and 6-inch nozzle for accessibility, and two extension wands for a longer reach. The Shop Vac also includes an 8-inch utility nozzle, a 14-inch floor nozzle and a 2-1/2-inch crevice tool for tight spots."	ask_question
27	Does this kit fit my Shop-Vac QSP Pro 16gal? The hose it has currently is a lock-on model, will this replace it properly?	"Deluxe 2-1/2"" Bulkdry Pick-Up', 'Designed for vacuuming versatility, the Shop Vac 2-1/2-inch deluxe pick-up accessory kit converts vacuums to large 2-1/2-inch tools. The answer for any type of bulk dry pick-up tasks, this kit features a 6-foot hose for working around corners, a 14- and 6-inch nozzle for accessibility, and two extension wands for a longer reach. The Shop Vac also includes an 8-inch utility nozzle, a 14-inch floor nozzle and a 2-1/2-inch crevice tool for tight spots."	ask_question
28	Does this kit fit my Shop-Vac QSP Pro 16gal? The hose it has currently is a lock-on model, will this replace it properly?	"Deluxe 2-1/2"" Bulkdry Pick-Up', 'Designed for vacuuming versatility, the Shop Vac 2-1/2-inch deluxe pick-up accessory kit converts vacuums to large 2-1/2-inch tools. The answer for any type of bulk dry pick-up tasks, this kit features a 6-foot hose for working around corners, a 14- and 6-inch nozzle for accessibility, and two extension wands for a longer reach. The Shop Vac also includes an 8-inch utility nozzle, a 14-inch floor nozzle and a 2-1/2-inch crevice tool for tight spots."	ask_question
29	Gave wrong # for Model ~~ try again Does the hose fit and lock in Shop-Vac Model 87P600A ~ wet/dry vacuum?	"Deluxe 2-1/2"" Bulkdry Pick-Up', 'Designed for vacuuming versatility, the Shop Vac 2-1/2-inch deluxe pick-up accessory kit converts vacuums to large 2-1/2-inch tools. The answer for any type of bulk dry pick-up tasks, this kit features a 6-foot hose for working around corners, a 14- and 6-inch nozzle for accessibility, and two extension wands for a longer reach. The Shop Vac also includes an 8-inch utility nozzle, a 14-inch floor nozzle and a 2-1/2-inch crevice tool for tight spots."	ask_question
30	"The product description says these are 1/4"" in size. Does that mean the hole is 1/4"", or that each grommet, including the metal ring, is 1/4"" across?"	Complete with tool and rustproof brass grommets for replacement or repairs in canvas or plastic. Instructions included. Tools with kit: Cutting block, hole cutter, inserting punch and die.	ask_question
31	Are the grommets brass or brass plated steel?? This makes a big difference if using outside.	Complete with tool and rustproof brass grommets for replacement or repairs in canvas or plastic. Instructions included. Tools with kit: Cutting block, hole cutter, inserting punch and die.	ask_question
32	Will this work on laminated sheets to hold O rings?	Complete with tool and rustproof brass grommets for replacement or repairs in canvas or plastic. Instructions included. Tools with kit: Cutting block, hole cutter, inserting punch and die.	ask_question
33	What is the die setter &amp; cutter made of? Is it metal or plastic?	Complete with tool and rustproof brass grommets for replacement or repairs in canvas or plastic. Instructions included. Tools with kit: Cutting block, hole cutter, inserting punch and die.	ask_question
34	I want to put grommets in a Gladware type container to use for yarn crafts. Will this product work on plasstic?	Complete with tool and rustproof brass grommets for replacement or repairs in canvas or plastic. Instructions included. Tools with kit: Cutting block, hole cutter, inserting punch and die.	ask_question
35	Will this provide all I need to make a hole in a flag &amp; insert a metal ring so it can attach to a hook on flagpole? Will it make large enough hole?	Complete with tool and rustproof brass grommets for replacement or repairs in canvas or plastic. Instructions included. Tools with kit: Cutting block, hole cutter, inserting punch and die.	ask_question
36	Does this work through thick leather?	Complete with tool and rustproof brass grommets for replacement or repairs in canvas or plastic. Instructions included. Tools with kit: Cutting block, hole cutter, inserting punch and die.	ask_question
37	I want to put a hole thru one side of a wallet to attach a key ring to it. Will this work for that.	Complete with tool and rustproof brass grommets for replacement or repairs in canvas or plastic. Instructions included. Tools with kit: Cutting block, hole cutter, inserting punch and die.	ask_question
38	Will these work for creating a Kydex holster? Kydex will .060''. Thanks.	Complete with tool and rustproof brass grommets for replacement or repairs in canvas or plastic. Instructions included. Tools with kit: Cutting block, hole cutter, inserting punch and die.	ask_question
39	Will this go through a hemmed end of a photography backdrop (basically two sides of fabric together??)	Complete with tool and rustproof brass grommets for replacement or repairs in canvas or plastic. Instructions included. Tools with kit: Cutting block, hole cutter, inserting punch and die.	ask_question
40	Does the Eagle UI-50 safety can funnel snap on and off easily to facilitate storage, or is it intended to stay in place?	Eagle 5 gallon Type I red safety cans (UI50FS) are constructed of 24-gauge hot dipped galvanized steel, are the only deep drawn seamless can made, have a double interlock no-weld bottom seam, a baked on powder coat finish with a trilingual label, have a spring closing lid with neoprene gasket that vents at 5 psi internal pressure, have a non-sparking flame arrestor and pour spout and are 100 percent made in the USA. Eagle Manufacturing Company's 5 gallon, Type I red safety can (for flammable liquids) meets OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids (Accepted Under CARB).	ask_question
41	With the funnel attached, I dont have much ability to tilt the can up very high, so I can only pour ~1/2 of the volume into my car tank. Help! Thanks!	Eagle 5 gallon Type I red safety cans (UI50FS) are constructed of 24-gauge hot dipped galvanized steel, are the only deep drawn seamless can made, have a double interlock no-weld bottom seam, a baked on powder coat finish with a trilingual label, have a spring closing lid with neoprene gasket that vents at 5 psi internal pressure, have a non-sparking flame arrestor and pour spout and are 100 percent made in the USA. Eagle Manufacturing Company's 5 gallon, Type I red safety can (for flammable liquids) meets OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids (Accepted Under CARB).	ask_question
42	"Has anyone else had an issue with gas ""flying"" out of can when opening after carrying it? It seems to pressurize, and when you pull on handle, look ou"	Eagle 5 gallon Type I red safety cans (UI50FS) are constructed of 24-gauge hot dipped galvanized steel, are the only deep drawn seamless can made, have a double interlock no-weld bottom seam, a baked on powder coat finish with a trilingual label, have a spring closing lid with neoprene gasket that vents at 5 psi internal pressure, have a non-sparking flame arrestor and pour spout and are 100 percent made in the USA. Eagle Manufacturing Company's 5 gallon, Type I red safety can (for flammable liquids) meets OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids (Accepted Under CARB).	ask_question
43	does this can have a metal or plastic handle?	Eagle 5 gallon Type I red safety cans (UI50FS) are constructed of 24-gauge hot dipped galvanized steel, are the only deep drawn seamless can made, have a double interlock no-weld bottom seam, a baked on powder coat finish with a trilingual label, have a spring closing lid with neoprene gasket that vents at 5 psi internal pressure, have a non-sparking flame arrestor and pour spout and are 100 percent made in the USA. Eagle Manufacturing Company's 5 gallon, Type I red safety can (for flammable liquids) meets OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids (Accepted Under CARB).	ask_question
44	What is the mechanism like that opens the Eagle UI-50 safety can for filling / pouring? (Cannot tell from the pic or description.)	Eagle 5 gallon Type I red safety cans (UI50FS) are constructed of 24-gauge hot dipped galvanized steel, are the only deep drawn seamless can made, have a double interlock no-weld bottom seam, a baked on powder coat finish with a trilingual label, have a spring closing lid with neoprene gasket that vents at 5 psi internal pressure, have a non-sparking flame arrestor and pour spout and are 100 percent made in the USA. Eagle Manufacturing Company's 5 gallon, Type I red safety can (for flammable liquids) meets OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids (Accepted Under CARB).	ask_question
45	weight of 5 gallon gas can	Eagle 5 gallon Type I red safety cans (UI50FS) are constructed of 24-gauge hot dipped galvanized steel, are the only deep drawn seamless can made, have a double interlock no-weld bottom seam, a baked on powder coat finish with a trilingual label, have a spring closing lid with neoprene gasket that vents at 5 psi internal pressure, have a non-sparking flame arrestor and pour spout and are 100 percent made in the USA. Eagle Manufacturing Company's 5 gallon, Type I red safety can (for flammable liquids) meets OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids (Accepted Under CARB).	ask_question
46	I like the idea of having this can in the bed of my truck at all times, up close to the toolbox to soften the ride. Is this completely unsafe?	Eagle 5 gallon Type I red safety cans (UI50FS) are constructed of 24-gauge hot dipped galvanized steel, are the only deep drawn seamless can made, have a double interlock no-weld bottom seam, a baked on powder coat finish with a trilingual label, have a spring closing lid with neoprene gasket that vents at 5 psi internal pressure, have a non-sparking flame arrestor and pour spout and are 100 percent made in the USA. Eagle Manufacturing Company's 5 gallon, Type I red safety can (for flammable liquids) meets OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids (Accepted Under CARB).	ask_question
47	Can you file your gas tank for Cars with this easily. I mean fill the entire 5 gallon by pouring it into the gas tank?	Eagle 5 gallon Type I red safety cans (UI50FS) are constructed of 24-gauge hot dipped galvanized steel, are the only deep drawn seamless can made, have a double interlock no-weld bottom seam, a baked on powder coat finish with a trilingual label, have a spring closing lid with neoprene gasket that vents at 5 psi internal pressure, have a non-sparking flame arrestor and pour spout and are 100 percent made in the USA. Eagle Manufacturing Company's 5 gallon, Type I red safety can (for flammable liquids) meets OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids (Accepted Under CARB).	ask_question
48	how do you keep the cap open when filling the can.? The plastic pull is a pain	Eagle 5 gallon Type I red safety cans (UI50FS) are constructed of 24-gauge hot dipped galvanized steel, are the only deep drawn seamless can made, have a double interlock no-weld bottom seam, a baked on powder coat finish with a trilingual label, have a spring closing lid with neoprene gasket that vents at 5 psi internal pressure, have a non-sparking flame arrestor and pour spout and are 100 percent made in the USA. Eagle Manufacturing Company's 5 gallon, Type I red safety can (for flammable liquids) meets OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids (Accepted Under CARB).	ask_question
49	Can you pour without the attached funnel, instead pouring into a traditional unattached funnel? Is the spout long enough to do this without spilling?	Eagle 5 gallon Type I red safety cans (UI50FS) are constructed of 24-gauge hot dipped galvanized steel, are the only deep drawn seamless can made, have a double interlock no-weld bottom seam, a baked on powder coat finish with a trilingual label, have a spring closing lid with neoprene gasket that vents at 5 psi internal pressure, have a non-sparking flame arrestor and pour spout and are 100 percent made in the USA. Eagle Manufacturing Company's 5 gallon, Type I red safety can (for flammable liquids) meets OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids (Accepted Under CARB).	ask_question
50	Will this tape stick to cement?	"This item is Irwin 65604 Flagging Tape Glo Lime 150' . Used for Test & Measurement, Tape Measures. The product is manufactured in China."", 'Lime-Glo Fluorescent Flagging Tape, 1-3/16 inches wide, 150-foot roll of colorfast extruded plastic with extra high visibility fluorescent colors for the professional tradesperson. Irwin tools are made of only the finest materials, manufactured to exacting tolerances."	ask_question
51	I looked up outdoor glow in the dark tape. does this glow in the dark? it doesn't say it does.	"This item is Irwin 65604 Flagging Tape Glo Lime 150' . Used for Test & Measurement, Tape Measures. The product is manufactured in China."", 'Lime-Glo Fluorescent Flagging Tape, 1-3/16 inches wide, 150-foot roll of colorfast extruded plastic with extra high visibility fluorescent colors for the professional tradesperson. Irwin tools are made of only the finest materials, manufactured to exacting tolerances."	ask_question
52	I need 2 rolls of orange and one of green (or yellow), can we combine sale and shipping costs?	"This item is Irwin 65604 Flagging Tape Glo Lime 150' . Used for Test & Measurement, Tape Measures. The product is manufactured in China."", 'Lime-Glo Fluorescent Flagging Tape, 1-3/16 inches wide, 150-foot roll of colorfast extruded plastic with extra high visibility fluorescent colors for the professional tradesperson. Irwin tools are made of only the finest materials, manufactured to exacting tolerances."	ask_question
53	How long is the bolt-stem; usable thread space?	Shepherd appliance caster, dual wheel, 250 lb. Load capacity, 5/8 in wheel diameter, threaded stem mounting, white..', 'The Shepherd 7/8-inch Appliance Casters easily move refrigerators, and other heavy appliances with a weight load of 250 pounds. These casters are not recommended for use on cushioned vinyl floors.	ask_question
54	Could I use these on a small, freestanding cabinet? Any idea on how I would attach them to the Ikea Akurum Corner Wall cabinet? Thanks!	Shepherd appliance caster, dual wheel, 250 lb. Load capacity, 5/8 in wheel diameter, threaded stem mounting, white..', 'The Shepherd 7/8-inch Appliance Casters easily move refrigerators, and other heavy appliances with a weight load of 250 pounds. These casters are not recommended for use on cushioned vinyl floors.	ask_question
55	Will it allow for steering left and right?	Shepherd appliance caster, dual wheel, 250 lb. Load capacity, 5/8 in wheel diameter, threaded stem mounting, white..', 'The Shepherd 7/8-inch Appliance Casters easily move refrigerators, and other heavy appliances with a weight load of 250 pounds. These casters are not recommended for use on cushioned vinyl floors.	ask_question
56	Has anyone noticed their washer/dryer moving out of position on a level floor during wash/dry cycles?	Shepherd appliance caster, dual wheel, 250 lb. Load capacity, 5/8 in wheel diameter, threaded stem mounting, white..', 'The Shepherd 7/8-inch Appliance Casters easily move refrigerators, and other heavy appliances with a weight load of 250 pounds. These casters are not recommended for use on cushioned vinyl floors.	ask_question
57	Is the 250 lb load rating per caster or for all 4?	Shepherd appliance caster, dual wheel, 250 lb. Load capacity, 5/8 in wheel diameter, threaded stem mounting, white..', 'The Shepherd 7/8-inch Appliance Casters easily move refrigerators, and other heavy appliances with a weight load of 250 pounds. These casters are not recommended for use on cushioned vinyl floors.	ask_question
58	Is $9.98 the price per caster or per set of four?	Shepherd appliance caster, dual wheel, 250 lb. Load capacity, 5/8 in wheel diameter, threaded stem mounting, white..', 'The Shepherd 7/8-inch Appliance Casters easily move refrigerators, and other heavy appliances with a weight load of 250 pounds. These casters are not recommended for use on cushioned vinyl floors.	ask_question
59	how high are these rollers-how much will it raise the refridgerator	Shepherd appliance caster, dual wheel, 250 lb. Load capacity, 5/8 in wheel diameter, threaded stem mounting, white..', 'The Shepherd 7/8-inch Appliance Casters easily move refrigerators, and other heavy appliances with a weight load of 250 pounds. These casters are not recommended for use on cushioned vinyl floors.	ask_question
60	How long are the screws included with these braces?	Stanley Corner Brace, 1-1/2 in Length, Hot-Rolled Steel, Class: CD997, Zinc Plated, Includes: Screws, For Chests, Screens, Windows and Furniture', 'Corner Braces, measure 1-1/2 inches, in rust resistant, zinc plated steel, used to reinforce right angle corner joints. Screws and four braces per package are included.	ask_question
61	How far apart are the two holes on each, from center of hole to center of hole? Thank you.	Stanley Corner Brace, 1-1/2 in Length, Hot-Rolled Steel, Class: CD997, Zinc Plated, Includes: Screws, For Chests, Screens, Windows and Furniture', 'Corner Braces, measure 1-1/2 inches, in rust resistant, zinc plated steel, used to reinforce right angle corner joints. Screws and four braces per package are included.	ask_question
62	these are 1.5 inches long (from end to corner) but how wide are they (side to side)	Stanley Corner Brace, 1-1/2 in Length, Hot-Rolled Steel, Class: CD997, Zinc Plated, Includes: Screws, For Chests, Screens, Windows and Furniture', 'Corner Braces, measure 1-1/2 inches, in rust resistant, zinc plated steel, used to reinforce right angle corner joints. Screws and four braces per package are included.	ask_question
63	Does this come with 4 as shown or it is just 1?	Stanley Corner Brace, 1-1/2 in Length, Hot-Rolled Steel, Class: CD997, Zinc Plated, Includes: Screws, For Chests, Screens, Windows and Furniture', 'Corner Braces, measure 1-1/2 inches, in rust resistant, zinc plated steel, used to reinforce right angle corner joints. Screws and four braces per package are included.	ask_question
64	What's the hole diameter?	Stanley Corner Brace, 1-1/2 in Length, Hot-Rolled Steel, Class: CD997, Zinc Plated, Includes: Screws, For Chests, Screens, Windows and Furniture', 'Corner Braces, measure 1-1/2 inches, in rust resistant, zinc plated steel, used to reinforce right angle corner joints. Screws and four braces per package are included.	ask_question
65	I'm planning on using these to mount a shelf to a wall, do you think they would be able to hold several books?	Stanley Corner Brace, 1-1/2 in Length, Hot-Rolled Steel, Class: CD997, Zinc Plated, Includes: Screws, For Chests, Screens, Windows and Furniture', 'Corner Braces, measure 1-1/2 inches, in rust resistant, zinc plated steel, used to reinforce right angle corner joints. Screws and four braces per package are included.	ask_question
66	"Okay, so the brace is 1.5"" by 1.5"", right?"	Stanley Corner Brace, 1-1/2 in Length, Hot-Rolled Steel, Class: CD997, Zinc Plated, Includes: Screws, For Chests, Screens, Windows and Furniture', 'Corner Braces, measure 1-1/2 inches, in rust resistant, zinc plated steel, used to reinforce right angle corner joints. Screws and four braces per package are included.	ask_question
67	What size screws should I use? These four casters are going on the bottom of a guitar amplifier combo that weighs 57 lbs.	Steelex 3in Polyurethane Swivel Caster, Plate Mount with Double Lock D2608', 'Red, high visibility, polyurethane tire is molded onto a hard rubber hub. Roller bearings keep things moving smoothly. In fixed, swivel and swivel with brake models. Brake models stop both the wheel rotation and the swivel movement.	ask_question
68	Can these be used outdoors? Are they prone to rust?	Steelex 3in Polyurethane Swivel Caster, Plate Mount with Double Lock D2608', 'Red, high visibility, polyurethane tire is molded onto a hard rubber hub. Roller bearings keep things moving smoothly. In fixed, swivel and swivel with brake models. Brake models stop both the wheel rotation and the swivel movement.	ask_question
69	What are the center to center mounting hole dimensions?	Steelex 3in Polyurethane Swivel Caster, Plate Mount with Double Lock D2608', 'Red, high visibility, polyurethane tire is molded onto a hard rubber hub. Roller bearings keep things moving smoothly. In fixed, swivel and swivel with brake models. Brake models stop both the wheel rotation and the swivel movement.	ask_question
70	What is the actual size of the mounting plate? It's says 2.5x2.5 in one place and 41/8x3/18 in another place? Which is it?	Steelex 3in Polyurethane Swivel Caster, Plate Mount with Double Lock D2608', 'Red, high visibility, polyurethane tire is molded onto a hard rubber hub. Roller bearings keep things moving smoothly. In fixed, swivel and swivel with brake models. Brake models stop both the wheel rotation and the swivel movement.	ask_question
